Channel index,Channel reference energy (keV),Channel synthetic energy (keV),Simulated intensity,Detected intensity,E_Net peak 0,P_B (continuum),P_B_pm_avg (continuum)
868,16.9531,16.9531,0,3.2521,0,0.996377,0.848633
869,16.9727,16.9727,0,3.22163,0,0.996427,0.849609
870,16.9922,16.9922,0,3.19142,0,0.996476,0.850586
871,17.0117,17.0117,0,3.1615,0,0.996525,0.851563
872,17.0313,17.0313,0,3.13187,0,0.996573,0.852539
873,17.0508,17.0508,0,3.10255,0,0.996621,0.853516
874,17.0703,17.0703,0,3.07351,0,0.996668,0.854492
875,17.0898,17.0898,0,3.04475,0,0.996715,0.855469
876,17.1094,17.1094,0,3.01624,0,0.996762,0.856445
877,17.1289,17.1289,0,2.98797,0,0.996808,0.857422
878,17.1484,17.1484,0,2.95992,0,0.996854,0.858398
879,17.168,17.168,0,2.93209,0,0.996899,0.859375
880,17.1875,17.1875,0,2.90451,0,0.996944,0.860352
881,17.207,17.207,0,2.87721,0,0.996988,0.861328
882,17.2266,17.2266,0,2.85026,0,0.997032,0.862305
883,17.2461,17.2461,0,2.82372,0,0.997076,0.863281
884,17.2656,17.2656,0,2.79768,0,0.997119,0.864258
885,17.2852,17.2852,0,2.77222,0,0.997162,0.865234
886,17.3047,17.3047,0,2.74743,0,0.997204,0.866211
887,17.3242,17.3242,0,2.72336,0,0.997246,0.867188
888,17.3438,17.3438,0,2.70003,0,0.997287,0.868164
889,17.3633,17.3633,0,2.67744,0,0.997328,0.869141
890,17.3828,17.3828,0,2.65556,0,0.997369,0.870117
891,17.4023,17.4023,0,2.63433,0,0.99741,0.871094
892,17.4219,17.4219,0,2.61366,0,0.99745,0.87207
893,17.4414,17.4414,0,2.59346,0,0.99749,0.873047
894,17.4609,17.4609,0,2.57362,0,0.99753,0.874023
895,17.4805,17.4805,0,2.55405,0,0.997569,0.875
896,17.5,17.5,0,2.53464,0,0.997609,0.875977
897,17.5195,17.5195,0,2.51531,0,0.997647,0.876953
898,17.5391,17.5391,0,2.49599,0,0.997686,0.87793
