Channel index,Channel reference energy (keV),Channel synthetic energy (keV),Simulated intensity,Detected intensity,E_Net peak 0,P_B (continuum),P_B_pm_avg (continuum)
173,3.37891,3.37891,8,155.245,0,0.603351,0.169922
174,3.39844,3.39844,4,154.028,0,0.605728,0.170898
175,3.41797,3.41797,4,152.811,0,0.608086,0.171875
176,3.4375,3.4375,6,151.594,0,0.610425,0.172852
177,3.45703,3.45703,4,150.377,0,0.612746,0.173828
178,3.47656,3.47656,9,149.159,0,0.615048,0.174805
179,3.49609,3.49609,3,147.944,0,0.617331,0.175781
180,3.51563,3.51563,5,146.734,0,0.619596,0.176758
181,3.53516,3.53516,8,145.534,0,0.621841,0.177734
182,3.55469,3.55469,7,144.352,0,0.624068,0.178711
183,3.57422,3.57422,4,143.196,0,0.626277,0.179688
184,3.59375,3.59375,5,142.07,0,0.628467,0.180664
185,3.61328,3.61328,5,140.975,0,0.630642,0.181641
186,3.63281,3.63281,2,139.904,0,0.632802,0.182617
187,3.65234,3.65234,1,138.851,0,0.634945,0.183594
188,3.67188,3.67188,1,137.809,0,0.637072,0.18457
189,3.69141,3.69141,5,136.772,0,0.639184,0.185547
190,3.71094,3.71094,3,135.737,0,0.64128,0.186523
191,3.73047,3.73047,2,134.702,0,0.643359,0.1875
192,3.75,3.75,5,133.667,0,0.645423,0.188477
193,3.76953,3.76953,4,132.632,0,0.647471,0.189453
194,3.78906,3.78906,6,131.598,0,0.649503,0.19043
195,3.80859,3.80859,3,130.566,0,0.651519,0.191406
196,3.82813,3.82813,6,129.539,0,0.65352,0.192383
197,3.84766,3.84766,3,128.523,0,0.655504,0.193359
198,3.86719,3.86719,3,127.525,0,0.657472,0.194336
199,3.88672,3.88672,8,126.551,0,0.659425,0.195313
200,3.90625,3.90625,8,125.605,0,0.661363,0.196289
201,3.92578,3.92578,3,124.8,0,0.663288,0.197266
202,3.94531,3.94531,4,123.908,0,0.665199,0.198242
203,3.96484,3.96484,1,123.032,0,0.667098,0.199219
204,3.98438,3.98438,7,122.167,0,0.668983,0.200195
205,4.00391,4.00391,3,121.308,0,0.670855,0.201172
206,4.02344,4.02344,4,120.451,0,0.672714,0.202148
207,4.04297,4.04297,7,119.594,0,0.67456,0.203125
208,4.0625,4.0625,10,118.738,0,0.676393,0.204102
209,4.08203,4.08203,3,117.881,0,0.678213,0.205078
210,4.10156,4.10156,4,117.026,0,0.680019,0.206055
211,4.12109,4.12109,2,116.171,0,0.681812,0.207031
212,4.14063,4.14063,3,115.32,0,0.683593,0.208008
213,4.16016,4.16016,1,114.476,0,0.68536,0.208984
214,4.17969,4.17969,3,113.643,0,0.687113,0.209961
215,4.19922,4.19922,8,112.823,0,0.688854,0.210938
216,4.21875,4.21875,2,112.02,0,0.690582,0.211914
217,4.23828,4.23828,3,111.346,0,0.692299,0.212891
218,4.25781,4.25781,3,110.574,0,0.694004,0.213867
219,4.27734,4.27734,3,109.813,0,0.695698,0.214844
220,4.29688,4.29688,4,109.058,0,0.69738,0.21582
221,4.31641,4.31641,8,108.306,0,0.69905,0.216797
222,4.33594,4.33594,3,107.556,0,0.70071,0.217773
223,4.35547,4.35547,6,106.807,0,0.702357,0.21875
224,4.375,4.375,6,106.058,0,0.703993,0.219727
225,4.39453,4.39453,4,105.309,0,0.705618,0.220703
226,4.41406,4.41406,3,104.561,0,0.707231,0.22168
227,4.43359,4.43359,4,103.814,0,0.708832,0.222656
228,4.45313,4.45313,2,103.072,0,0.710422,0.223633
229,4.47266,4.47266,2,102.338,0,0.712001,0.224609
230,4.49219,4.49219,3,101.614,0,0.713568,0.225586
231,4.51172,4.51172,0,100.906,0,0.715123,0.226563
232,4.53125,4.53125,2,100.216,0,0.716668,0.227539
233,4.55078,4.55078,2,99.5425,0,0.718203,0.228516
234,4.57031,4.57031,5,98.8843,0,0.719728,0.229492
235,4.58984,4.58984,6,98.2373,0,0.721244,0.230469
236,4.60938,4.60938,2,97.5976,0,0.722749,0.231445
237,4.62891,4.62891,4,96.9621,0,0.724246,0.232422
238,4.64844,4.64844,3,96.3284,0,0.725732,0.233398
239,4.66797,4.66797,3,95.6956,0,0.727209,0.234375
240,4.6875,4.6875,5,95.063,0,0.728676,0.235352
241,4.70703,4.70703,1,94.4308,0,0.730133,0.236328
242,4.72656,4.72656,3,93.7993,0,0.73158,0.237305
243,4.74609,4.74609,3,93.1694,0,0.733018,0.238281
244,4.76563,4.76563,3,92.543,0,0.734446,0.239258
245,4.78516,4.78516,2,91.9225,0,0.735865,0.240234
246,4.80469,4.80469,3,91.3107,0,0.737273,0.241211
247,4.82422,4.82422,6,90.7105,0,0.738672,0.242188
248,4.84375,4.84375,2,90.1235,0,0.740062,0.243164
249,4.86328,4.86328,4,89.5496,0,0.741444,0.244141
250,4.88281,4.88281,5,88.9871,0,0.742817,0.245117
251,4.90234,4.90234,6,88.4333,0,0.744182,0.246094
252,4.92188,4.92188,2,87.8853,0,0.745538,0.24707
253,4.94141,4.94141,6,87.3406,0,0.746886,0.248047
254,4.96094,4.96094,4,86.7976,0,0.748226,0.249023
255,4.98047,4.98047,4,86.2552,0,0.749558,0.25
256,5,5,2,85.7132,0,0.750881,0.250977
257,5.01953,5.01953,4,85.1715,0,0.752196,0.251953
258,5.03906,5.03906,1,84.6303,0,0.753503,0.25293
259,5.05859,5.05859,6,84.0905,0,0.754801,0.253906
260,5.07813,5.07813,3,83.5531,0,0.756091,0.254883
261,5.09766,5.09766,3,83.0199,0,0.757372,0.255859
262,5.11719,5.11719,1,82.4929,0,0.758646,0.256836
263,5.13672,5.13672,4,81.9738,0,0.759911,0.257813
264,5.15625,5.15625,1,81.4637,0,0.761168,0.258789
265,5.17578,5.17578,5,80.9626,0,0.762418,0.259766
266,5.19531,5.19531,1,80.4694,0,0.76366,0.260742
267,5.21484,5.21484,1,79.9822,0,0.764895,0.261719
268,5.23438,5.23438,1,79.4992,0,0.766123,0.262695
269,5.25391,5.25391,2,79.0186,0,0.767343,0.263672
270,5.27344,5.27344,2,78.5392,0,0.768556,0.264648
271,5.29297,5.29297,1,78.0605,0,0.769762,0.265625
272,5.3125,5.3125,3,77.582,0,0.77096,0.266602
273,5.33203,5.33203,3,77.104,0,0.772151,0.267578
274,5.35156,5.35156,3,76.6936,0,0.773335,0.268555
275,5.37109,5.37109,1,76.2188,0,0.774511,0.269531
276,5.39063,5.39063,2,75.7474,0,0.77568,0.270508
277,5.41016,5.41016,3,75.2814,0,0.776842,0.271484
278,5.42969,5.42969,2,74.8234,0,0.777996,0.272461
279,5.44922,5.44922,4,74.3754,0,0.779143,0.273438
280,5.46875,5.46875,1,73.9388,0,0.780283,0.274414
281,5.48828,5.48828,4,73.5134,0,0.781417,0.275391
282,5.50781,5.50781,2,73.0981,0,0.782545,0.276367
283,5.52734,5.52734,4,72.6905,0,0.783667,0.277344
284,5.54688,5.54688,1,72.2883,0,0.784783,0.27832
285,5.56641,5.56641,2,71.8894,0,0.785893,0.279297
286,5.58594,5.58594,4,71.4923,0,0.786996,0.280273
287,5.60547,5.60547,1,71.096,0,0.788094,0.28125
288,5.625,5.625,0,70.7002,0,0.789185,0.282227
289,5.64453,5.64453,1,70.3048,0,0.790271,0.283203
290,5.66406,5.66406,1,69.9099,0,0.79135,0.28418
291,5.68359,5.68359,3,69.5162,0,0.792424,0.285156
292,5.70313,5.70313,2,69.1915,0,0.793491,0.286133
293,5.72266,5.72266,2,68.8039,0,0.794552,0.287109
294,5.74219,5.74219,2,68.4212,0,0.795607,0.288086
295,5.76172,5.76172,1,68.0446,0,0.796656,0.289063
296,5.78125,5.78125,2,67.6748,0,0.797699,0.290039
297,5.80078,5.80078,1,67.3118,0,0.798737,0.291016
298,5.82031,5.82031,1,66.9549,0,0.79977,0.291992
299,5.83984,5.83984,2,66.6028,0,0.800797,0.292969
300,5.85938,5.85938,1,66.254,0,0.801819,0.293945
301,5.87891,5.87891,1,65.9073,0,0.802836,0.294922
302,5.89844,5.89844,1,65.5618,0,0.803848,0.295898
303,5.91797,5.91797,3,65.2169,0,0.804854,0.296875
304,5.9375,5.9375,3,64.8723,0,0.805855,0.297852
305,5.95703,5.95703,2,64.5279,0,0.806851,0.298828
306,5.97656,5.97656,1,64.184,0,0.807841,0.299805
307,5.99609,5.99609,3,63.8408,0,0.808826,0.300781
308,6.01563,6.01563,2,63.4991,0,0.809806,0.301758
309,6.03516,6.03516,1,63.1594,0,0.81078,0.302734
310,6.05469,6.05469,0,62.8228,0,0.811749,0.303711
311,6.07422,6.07422,1,62.4898,0,0.812713,0.304688
312,6.09375,6.09375,0,62.161,0,0.813672,0.305664
313,6.11328,6.11328,2,61.8364,0,0.814626,0.306641
314,6.13281,6.13281,0,61.5154,0,0.815575,0.307617
315,6.15234,6.15234,3,61.1974,0,0.816519,0.308594
316,6.17188,6.17188,3,60.8815,0,0.817459,0.30957
317,6.19141,6.19141,4,60.5669,0,0.818393,0.310547
318,6.21094,6.21094,1,60.2531,0,0.819323,0.311523
319,6.23047,6.23047,0,59.9397,0,0.820248,0.3125
320,6.25,6.25,2,59.6266,0,0.821169,0.313477
321,6.26953,6.26953,2,59.3136,0,0.822084,0.314453
322,6.28906,6.28906,2,59.001,0,0.822995,0.31543
323,6.30859,6.30859,0,58.6891,0,0.8239,0.316406
324,6.32813,6.32813,3,58.3783,0,0.824801,0.317383
325,6.34766,6.34766,1,58.0692,0,0.825698,0.318359
326,6.36719,6.36719,1,57.7625,0,0.826589,0.319336
327,6.38672,6.38672,0,57.4587,0,0.827476,0.320313
328,6.40625,6.40625,2,57.1581,0,0.828358,0.321289
329,6.42578,6.42578,5,56.8608,0,0.829235,0.322266
330,6.44531,6.44531,4,56.5664,0,0.830108,0.323242
331,6.46484,6.46484,3,56.2744,0,0.830977,0.324219
332,6.48438,6.48438,1,55.984,0,0.831841,0.325195
333,6.50391,6.50391,2,55.6947,0,0.832701,0.326172
334,6.52344,6.52344,1,55.4061,0,0.833556,0.327148
335,6.54297,6.54297,2,55.1178,0,0.834407,0.328125
336,6.5625,6.5625,2,54.8298,0,0.835254,0.329102
337,6.58203,6.58203,1,54.542,0,0.836096,0.330078
338,6.60156,6.60156,1,54.2547,0,0.836934,0.331055
339,6.62109,6.62109,1,53.9681,0,0.837767,0.332031
340,6.64063,6.64063,2,53.6829,0,0.838596,0.333008
341,6.66016,6.66016,3,53.3996,0,0.83942,0.333984
342,6.67969,6.67969,3,53.1189,0,0.84024,0.334961
343,6.69922,6.69922,4,52.8415,0,0.841056,0.335938
344,6.71875,6.71875,2,52.5677,0,0.841867,0.336914
345,6.73828,6.73828,2,52.2975,0,0.842674,0.337891
346,6.75781,6.75781,1,52.0305,0,0.843478,0.338867
347,6.77734,6.77734,0,51.7662,0,0.844277,0.339844
348,6.79688,6.79688,4,51.5038,0,0.845073,0.34082
349,6.81641,6.81641,2,51.2426,0,0.845864,0.341797
350,6.83594,6.83594,2,50.9822,0,0.846651,0.342773
351,6.85547,6.85547,1,50.7222,0,0.847435,0.34375
352,6.875,6.875,3,50.4626,0,0.848214,0.344727
353,6.89453,6.89453,2,50.2033,0,0.84899,0.345703
354,6.91406,6.91406,1,49.9444,0,0.849761,0.34668
355,6.93359,6.93359,0,49.7274,0,0.850529,0.347656
356,6.95313,6.95313,2,49.4712,0,0.851292,0.348633
357,6.97266,6.97266,3,49.217,0,0.852052,0.349609
358,6.99219,6.99219,1,48.9658,0,0.852807,0.350586
359,7.01172,7.01172,5,48.718,0,0.853559,0.351563
360,7.03125,7.03125,3,48.474,0,0.854306,0.352539
361,7.05078,7.05078,1,48.2339,0,0.855051,0.353516
362,7.07031,7.07031,4,47.9972,0,0.855791,0.354492
363,7.08984,7.08984,2,47.7633,0,0.856529,0.355469
364,7.10938,7.10938,3,47.5316,0,0.857262,0.356445
365,7.12891,7.12891,0,47.3012,0,0.857993,0.357422
366,7.14844,7.14844,1,47.0717,0,0.858719,0.358398
367,7.16797,7.16797,0,46.8427,0,0.859442,0.359375
368,7.1875,7.1875,1,46.614,0,0.860162,0.360352
369,7.20703,7.20703,1,46.3857,0,0.860878,0.361328
370,7.22656,7.22656,1,46.1577,0,0.861591,0.362305
371,7.24609,7.24609,1,45.9304,0,0.8623,0.363281
372,7.26563,7.26563,3,45.7041,0,0.863006,0.364258
373,7.28516,7.28516,0,45.4794,0,0.863708,0.365234
374,7.30469,7.30469,3,45.2566,0,0.864406,0.366211
375,7.32422,7.32422,5,45.0773,0,0.865101,0.367188
376,7.34375,7.34375,3,44.8599,0,0.865793,0.368164
377,7.36328,7.36328,1,44.6452,0,0.866482,0.369141
378,7.38281,7.38281,0,44.433,0,0.867167,0.370117
379,7.40234,7.40234,2,44.2228,0,0.867849,0.371094
380,7.42188,7.42188,1,44.014,0,0.868528,0.37207
381,7.44141,7.44141,0,43.8063,0,0.869204,0.373047
382,7.46094,7.46094,0,43.5992,0,0.869877,0.374023
383,7.48047,7.48047,2,43.3925,0,0.870546,0.375
384,7.5,7.5,0,43.1861,0,0.871213,0.375977
385,7.51953,7.51953,1,42.9799,0,0.871876,0.376953
386,7.53906,7.53906,1,42.7741,0,0.872536,0.37793
387,7.55859,7.55859,1,42.5687,0,0.873193,0.378906
388,7.57813,7.57813,1,42.3641,0,0.873846,0.379883
389,7.59766,7.59766,2,42.1607,0,0.874497,0.380859
390,7.61719,7.61719,2,41.9588,0,0.875144,0.381836
391,7.63672,7.63672,2,41.7587,0,0.875788,0.382813
392,7.65625,7.65625,1,41.5605,0,0.876429,0.383789
393,7.67578,7.67578,1,41.3644,0,0.877067,0.384766
394,7.69531,7.69531,0,41.17,0,0.877702,0.385742
395,7.71484,7.71484,0,40.977,0,0.878335,0.386719
396,7.73438,7.73438,2,40.7853,0,0.878964,0.387695
397,7.75391,7.75391,1,40.5942,0,0.879591,0.388672
398,7.77344,7.77344,3,40.4037,0,0.880214,0.389648
399,7.79297,7.79297,2,40.2135,0,0.880835,0.390625
400,7.8125,7.8125,1,40.0236,0,0.881452,0.391602
401,7.83203,7.83203,0,39.8338,0,0.882067,0.392578
402,7.85156,7.85156,1,39.6444,0,0.882679,0.393555
403,7.87109,7.87109,1,39.4554,0,0.883288,0.394531
404,7.89063,7.89063,1,39.2672,0,0.883894,0.395508
405,7.91016,7.91016,0,39.08,0,0.884497,0.396484
406,7.92969,7.92969,1,38.8941,0,0.885097,0.397461
407,7.94922,7.94922,1,38.7099,0,0.885694,0.398438
408,7.96875,7.96875,2,38.5274,0,0.886289,0.399414
409,7.98828,7.98828,1,38.3466,0,0.886881,0.400391
410,8.00781,8.00781,0,38.1675,0,0.88747,0.401367
411,8.02734,8.02734,2,37.9897,0,0.888056,0.402344
412,8.04688,8.04688,1,37.8129,0,0.88864,0.40332
413,8.06641,8.06641,4,37.6368,0,0.889221,0.404297
414,8.08594,8.08594,0,37.4613,0,0.889799,0.405273
415,8.10547,8.10547,0,37.286,0,0.890375,0.40625
416,8.125,8.125,1,37.1109,0,0.890948,0.407227
417,8.14453,8.14453,2,36.936,0,0.891518,0.408203
418,8.16406,8.16406,1,36.7613,0,0.892085,0.40918
419,8.18359,8.18359,2,36.587,0,0.89265,0.410156
420,8.20313,8.20313,0,36.4133,0,0.893212,0.411133
421,8.22266,8.22266,0,36.2404,0,0.893772,0.412109
422,8.24219,8.24219,1,36.0685,0,0.894328,0.413086
423,8.26172,8.26172,3,35.8977,0,0.894883,0.414063
424,8.28125,8.28125,2,35.7283,0,0.895434,0.415039
425,8.30078,8.30078,1,35.5602,0,0.895983,0.416016
426,8.32031,8.32031,0,35.3933,0,0.896529,0.416992
427,8.33984,8.33984,1,35.2274,0,0.897073,0.417969
428,8.35938,8.35938,1,35.0622,0,0.897615,0.418945
429,8.37891,8.37891,3,34.8976,0,0.898154,0.419922
430,8.39844,8.39844,0,34.7334,0,0.89869,0.420898
431,8.41797,8.41797,2,34.5694,0,0.899224,0.421875
432,8.4375,8.4375,0,34.4055,0,0.899755,0.422852
433,8.45703,8.45703,1,34.2417,0,0.900284,0.423828
434,8.47656,8.47656,0,34.0779,0,0.90081,0.424805
435,8.49609,8.49609,1,33.9142,0,0.901334,0.425781
436,8.51563,8.51563,1,33.7505,0,0.901855,0.426758
437,8.53516,8.53516,0,33.587,0,0.902374,0.427734
438,8.55469,8.55469,0,33.4236,0,0.90289,0.428711
439,8.57422,8.57422,2,33.2603,0,0.903404,0.429688
440,8.59375,8.59375,0,33.0972,0,0.903915,0.430664
441,8.61328,8.61328,3,32.9342,0,0.904424,0.431641
442,8.63281,8.63281,0,32.7714,0,0.90493,0.432617
443,8.65234,8.65234,1,32.6087,0,0.905434,0.433594
444,8.67188,8.67188,2,32.4461,0,0.905935,0.43457
445,8.69141,8.69141,1,32.2836,0,0.906434,0.435547
446,8.71094,8.71094,1,32.1461,0,0.90693,0.436523
447,8.73047,8.73047,1,31.9839,0,0.907423,0.4375
448,8.75,8.75,1,31.822,0,0.907915,0.438477
449,8.76953,8.76953,1,31.6604,0,0.908403,0.439453
450,8.78906,8.78906,1,31.4996,0,0.90889,0.44043
451,8.80859,8.80859,0,31.3399,0,0.909373,0.441406
452,8.82813,8.82813,2,31.182,0,0.909855,0.442383
453,8.84766,8.84766,2,31.0264,0,0.910333,0.443359
454,8.86719,8.86719,2,30.8738,0,0.91081,0.444336
455,8.88672,8.88672,2,30.7248,0,0.911283,0.445313
456,8.90625,8.90625,1,30.5795,0,0.911755,0.446289
457,8.92578,8.92578,1,30.4381,0,0.912224,0.447266
458,8.94531,8.94531,0,30.3002,0,0.912692,0.448242
459,8.96484,8.96484,2,30.1652,0,0.913157,0.449219
460,8.98438,8.98438,1,30.0326,0,0.913621,0.450195
461,9.00391,9.00391,1,29.9017,0,0.914083,0.451172
462,9.02344,9.02344,2,29.772,0,0.914542,0.452148
463,9.04297,9.04297,1,29.6428,0,0.915,0.453125
464,9.0625,9.0625,2,29.5141,0,0.915456,0.454102
465,9.08203,9.08203,1,29.3855,0,0.91591,0.455078
466,9.10156,9.10156,2,29.2568,0,0.916361,0.456055
467,9.12109,9.12109,1,29.1279,0,0.916811,0.457031
468,9.14063,9.14063,2,29.0237,0,0.917259,0.458008
469,9.16016,9.16016,2,28.8941,0,0.917705,0.458984
470,9.17969,9.17969,2,28.7639,0,0.918149,0.459961
471,9.19922,9.19922,0,28.633,0,0.918591,0.460938
472,9.21875,9.21875,2,28.5014,0,0.919031,0.461914
473,9.23828,9.23828,0,28.369,0,0.919468,0.462891
474,9.25781,9.25781,3,28.2359,0,0.919904,0.463867
475,9.27734,9.27734,1,28.1022,0,0.920338,0.464844
476,9.29688,9.29688,0,27.9681,0,0.920769,0.46582
477,9.31641,9.31641,0,27.8336,0,0.921199,0.466797
478,9.33594,9.33594,2,27.699,0,0.921626,0.467773
479,9.35547,9.35547,1,27.5643,0,0.922052,0.46875
480,9.375,9.375,0,27.4297,0,0.922475,0.469727
481,9.39453,9.39453,1,27.2955,0,0.922896,0.470703
482,9.41406,9.41406,0,27.1619,0,0.923315,0.47168
483,9.43359,9.43359,2,27.0293,0,0.923732,0.472656
484,9.45313,9.45313,0,26.8981,0,0.924147,0.473633
485,9.47266,9.47266,1,26.769,0,0.92456,0.474609
486,9.49219,9.49219,3,26.6423,0,0.924971,0.475586
487,9.51172,9.51172,1,26.5185,0,0.92538,0.476563
488,9.53125,9.53125,5,26.3979,0,0.925786,0.477539
489,9.55078,9.55078,1,26.2803,0,0.926192,0.478516
490,9.57031,9.57031,1,26.1656,0,0.926595,0.479492
491,9.58984,9.58984,0,26.0534,0,0.926997,0.480469
492,9.60938,9.60938,1,25.9431,0,0.927398,0.481445
493,9.62891,9.62891,1,25.8343,0,0.927796,0.482422
494,9.64844,9.64844,1,25.7264,0,0.928193,0.483398
495,9.66797,9.66797,0,25.6192,0,0.928589,0.484375
496,9.6875,9.6875,2,25.5122,0,0.928982,0.485352
497,9.70703,9.70703,0,25.4053,0,0.929375,0.486328
498,9.72656,9.72656,1,25.2983,0,0.929765,0.487305
499,9.74609,9.74609,1,25.1909,0,0.930154,0.488281
500,9.76563,9.76563,2,25.0831,0,0.930541,0.489258
501,9.78516,9.78516,2,24.9746,0,0.930927,0.490234
502,9.80469,9.80469,1,24.8652,0,0.931311,0.491211
503,9.82422,9.82422,1,24.7549,0,0.931693,0.492188
504,9.84375,9.84375,0,24.6435,0,0.932074,0.493164
505,9.86328,9.86328,1,24.5311,0,0.932452,0.494141
506,9.88281,9.88281,1,24.4176,0,0.932829,0.495117
507,9.90234,9.90234,1,24.3034,0,0.933205,0.496094
508,9.92188,9.92188,1,24.1884,0,0.933578,0.49707
509,9.94141,9.94141,1,24.073,0,0.93395,0.498047
510,9.96094,9.96094,0,23.9572,0,0.93432,0.499023
511,9.98047,9.98047,0,23.8413,0,0.934688,0.5
512,10,10,1,23.7254,0,0.935054,0.500977
513,10.0195,10.0195,1,23.6096,0,0.935419,0.501953
514,10.0391,10.0391,0,23.4941,0,0.935781,0.50293
515,10.0586,10.0586,0,23.3791,0,0.936142,0.503906
516,10.0781,10.0781,0,23.2649,0,0.936501,0.504883
517,10.0977,10.0977,0,23.1516,0,0.936859,0.505859
518,10.1172,10.1172,1,23.0396,0,0.937214,0.506836
519,10.1367,10.1367,2,22.929,0,0.937568,0.507813
520,10.1563,10.1563,0,22.8199,0,0.93792,0.508789
521,10.1758,10.1758,2,22.7123,0,0.938271,0.509766
522,10.1953,10.1953,1,22.6062,0,0.93862,0.510742
523,10.2148,10.2148,0,22.5012,0,0.938967,0.511719
524,10.2344,10.2344,2,22.3972,0,0.939313,0.512695
525,10.2539,10.2539,0,22.294,0,0.939657,0.513672
526,10.2734,10.2734,0,22.1913,0,0.94,0.514648
527,10.293,10.293,1,22.089,0,0.940341,0.515625
528,10.3125,10.3125,0,21.9869,0,0.94068,0.516602
529,10.332,10.332,0,21.8851,0,0.941018,0.517578
530,10.3516,10.3516,1,21.7836,0,0.941355,0.518555
531,10.3711,10.3711,1,21.6823,0,0.94169,0.519531
532,10.3906,10.3906,1,21.5815,0,0.942023,0.520508
533,10.4102,10.4102,0,21.4812,0,0.942354,0.521484
534,10.4297,10.4297,1,21.3815,0,0.942685,0.522461
535,10.4492,10.4492,0,21.2826,0,0.943013,0.523438
536,10.4688,10.4688,0,21.1845,0,0.94334,0.524414
537,10.4883,10.4883,0,21.0872,0,0.943666,0.525391
538,10.5078,10.5078,0,20.9907,0,0.94399,0.526367
539,10.5273,10.5273,0,20.8948,0,0.944313,0.527344
540,10.5469,10.5469,0,20.7994,0,0.944634,0.52832
541,10.5664,10.5664,0,20.7045,0,0.944954,0.529297
542,10.5859,10.5859,2,20.6098,0,0.945272,0.530273
543,10.6055,10.6055,3,20.5154,0,0.945589,0.53125
544,10.625,10.625,0,20.4212,0,0.945904,0.532227
545,10.6445,10.6445,0,20.3273,0,0.946219,0.533203
546,10.6641,10.6641,3,20.2486,0,0.946531,0.53418
547,10.6836,10.6836,0,20.1554,0,0.946842,0.535156
548,10.7031,10.7031,0,20.0629,0,0.947152,0.536133
549,10.7227,10.7227,2,19.9711,0,0.94746,0.537109
550,10.7422,10.7422,0,19.8802,0,0.947767,0.538086
551,10.7617,10.7617,0,19.7904,0,0.948072,0.539063
552,10.7813,10.7813,0,19.7017,0,0.948376,0.540039
553,10.8008,10.8008,2,19.6142,0,0.948679,0.541016
554,10.8203,10.8203,1,19.5277,0,0.94898,0.541992
555,10.8398,10.8398,1,19.4421,0,0.94928,0.542969
556,10.8594,10.8594,1,19.3573,0,0.949579,0.543945
557,10.8789,10.8789,0,19.2731,0,0.949877,0.544922
558,10.8984,10.8984,0,19.1893,0,0.950173,0.545898
559,10.918,10.918,2,19.1057,0,0.950468,0.546875
560,10.9375,10.9375,0,19.0222,0,0.950762,0.547852
561,10.957,10.957,1,18.9387,0,0.951054,0.548828
562,10.9766,10.9766,2,18.8551,0,0.951345,0.549805
563,10.9961,10.9961,0,18.7713,0,0.951635,0.550781
564,11.0156,11.0156,0,18.6871,0,0.951924,0.551758
565,11.0352,11.0352,0,18.6026,0,0.952211,0.552734
566,11.0547,11.0547,0,18.5175,0,0.952497,0.553711
567,11.0742,11.0742,1,18.4318,0,0.952782,0.554688
568,11.0938,11.0938,0,18.3455,0,0.953065,0.555664
569,11.1133,11.1133,1,18.2586,0,0.953347,0.556641
570,11.1328,11.1328,1,18.186,0,0.953628,0.557617
571,11.1523,11.1523,0,18.0981,0,0.953907,0.558594
572,11.1719,11.1719,0,18.0097,0,0.954185,0.55957
573,11.1914,11.1914,0,17.9209,0,0.954462,0.560547
574,11.2109,11.2109,1,17.832,0,0.954737,0.561523
575,11.2305,11.2305,0,17.7431,0,0.955011,0.5625
576,11.25,11.25,1,17.6541,0,0.955283,0.563477
577,11.2695,11.2695,0,17.5653,0,0.955554,0.564453
578,11.2891,11.2891,0,17.4769,0,0.955824,0.56543
579,11.3086,11.3086,2,17.3889,0,0.956092,0.566406
580,11.3281,11.3281,0,17.3017,0,0.956359,0.567383
581,11.3477,11.3477,0,17.2153,0,0.956625,0.568359
582,11.3672,11.3672,2,17.1301,0,0.956889,0.569336
583,11.3867,11.3867,3,17.0462,0,0.957151,0.570313
584,11.4063,11.4063,0,16.9636,0,0.957413,0.571289
585,11.4258,11.4258,0,16.8823,0,0.957673,0.572266
586,11.4453,11.4453,1,16.8023,0,0.957933,0.573242
587,11.4648,11.4648,0,16.7234,0,0.958191,0.574219
588,11.4844,11.4844,0,16.6454,0,0.958447,0.575195
589,11.5039,11.5039,0,16.5682,0,0.958703,0.576172
590,11.5234,11.5234,0,16.4914,0,0.958958,0.577148
591,11.543,11.543,0,16.415,0,0.959211,0.578125
592,11.5625,11.5625,0,16.3388,0,0.959463,0.579102
593,11.582,11.582,0,16.2627,0,0.959714,0.580078
594,11.6016,11.6016,0,16.1867,0,0.959964,0.581055
595,11.6211,11.6211,0,16.1108,0,0.960213,0.582031
596,11.6406,11.6406,0,16.0348,0,0.96046,0.583008
597,11.6602,11.6602,0,15.9589,0,0.960706,0.583984
598,11.6797,11.6797,1,15.8829,0,0.960952,0.584961
599,11.6992,11.6992,1,15.807,0,0.961196,0.585938
600,11.7188,11.7188,2,15.731,0,0.961438,0.586914
601,11.7383,11.7383,0,15.6551,0,0.96168,0.587891
602,11.7578,11.7578,2,15.5791,0,0.961921,0.588867
603,11.7773,11.7773,2,15.5031,0,0.96216,0.589844
604,11.7969,11.7969,1,15.4272,0,0.962398,0.59082
605,11.8164,11.8164,0,15.3512,0,0.962635,0.591797
606,11.8359,11.8359,0,15.2753,0,0.962871,0.592773
607,11.8555,11.8555,1,15.1994,0,0.963106,0.59375
608,11.875,11.875,1,15.1237,0,0.963339,0.594727
609,11.8945,11.8945,1,15.0481,0,0.963571,0.595703
610,11.9141,11.9141,2,14.9729,0,0.963802,0.59668
611,11.9336,11.9336,0,14.898,0,0.964032,0.597656
612,11.9531,11.9531,2,14.8238,0,0.964261,0.598633
613,11.9727,11.9727,1,14.7502,0,0.964489,0.599609
614,11.9922,11.9922,0,14.6775,0,0.964715,0.600586
615,12.0117,12.0117,0,14.6058,0,0.964941,0.601563
616,12.0313,12.0313,2,14.5352,0,0.965165,0.602539
617,12.0508,12.0508,0,14.4655,0,0.965388,0.603516
618,12.0703,12.0703,1,14.3969,0,0.96561,0.604492
619,12.0898,12.0898,1,14.3291,0,0.965831,0.605469
620,12.1094,12.1094,0,14.262,0,0.966051,0.606445
621,12.1289,12.1289,0,14.1955,0,0.966271,0.607422
622,12.1484,12.1484,0,14.1293,0,0.966489,0.608398
623,12.168,12.168,0,14.0635,0,0.966706,0.609375
624,12.1875,12.1875,0,13.9978,0,0.966922,0.610352
625,12.207,12.207,0,13.9323,0,0.967137,0.611328
626,12.2266,12.2266,1,13.8667,0,0.967351,0.612305
