Energy (keV), Spectra Total, Spectra Lines, Spectra Bremsstrahlung
86.4675, 27.6443, 0, 27.6443
86.4725, 27.6409, 0, 27.6409
86.4775, 27.6374, 0, 27.6374
86.4825, 27.634, 0, 27.634
86.4875, 27.6306, 0, 27.6306
86.4925, 27.6271, 0, 27.6271
86.4975, 27.6237, 0, 27.6237
86.5025, 27.6202, 0, 27.6202
86.5075, 27.6168, 0, 27.6168
86.5125, 27.6134, 0, 27.6134
86.5175, 27.6099, 0, 27.6099
86.5225, 27.6065, 0, 27.6065
86.5275, 27.6031, 0, 27.6031
86.5325, 27.5996, 0, 27.5996
86.5375, 27.5962, 0, 27.5962
86.5425, 27.5928, 0, 27.5928
86.5475, 27.5893, 0, 27.5893
86.5525, 27.5887, 0, 27.5887
86.5575, 27.5853, 0, 27.5853
86.5625, 27.5819, 0, 27.5819
86.5675, 27.5784, 0, 27.5784
86.5725, 27.575, 0, 27.575
86.5775, 27.5716, 0, 27.5716
86.5825, 27.5681, 0, 27.5681
86.5875, 27.5647, 0, 27.5647
86.5925, 27.5613, 0, 27.5613
86.5975, 27.5579, 0, 27.5579
86.6025, 27.5544, 0, 27.5544
86.6075, 27.551, 0, 27.551
86.6125, 27.5476, 0, 27.5476
86.6175, 27.5441, 0, 27.5441
86.6225, 27.5407, 0, 27.5407
86.6275, 27.5373, 0, 27.5373
86.6325, 27.5339, 0, 27.5339
86.6375, 27.5304, 0, 27.5304
86.6425, 27.527, 0, 27.527
86.6475, 27.5236, 0, 27.5236
86.6525, 27.5201, 0, 27.5201
86.6575, 27.5167, 0, 27.5167
86.6625, 27.5133, 0, 27.5133
86.6675, 27.5099, 0, 27.5099
86.6725, 27.5064, 0, 27.5064
86.6775, 27.503, 0, 27.503
86.6825, 27.4996, 0, 27.4996
86.6875, 27.4962, 0, 27.4962
86.6925, 27.4927, 0, 27.4927
86.6975, 27.4893, 0, 27.4893
86.7025, 27.4859, 0, 27.4859
86.7075, 27.4825, 0, 27.4825
86.7125, 27.4791, 0, 27.4791
86.7175, 27.4756, 0, 27.4756
86.7225, 27.4722, 0, 27.4722
86.7275, 27.4688, 0, 27.4688
86.7325, 27.4654, 0, 27.4654
86.7375, 27.4619, 0, 27.4619
86.7425, 27.4585, 0, 27.4585
86.7475, 27.4551, 0, 27.4551
86.7525, 27.4517, 0, 27.4517
86.7575, 27.4483, 0, 27.4483
86.7625, 27.4448, 0, 27.4448
86.7675, 27.4414, 0, 27.4414
86.7725, 27.438, 0, 27.438
86.7775, 27.4346, 0, 27.4346
86.7825, 27.4312, 0, 27.4312
86.7875, 27.4278, 0, 27.4278
86.7925, 27.4243, 0, 27.4243
86.7975, 27.4209, 0, 27.4209
86.8025, 27.4175, 0, 27.4175
86.8075, 27.4141, 0, 27.4141
86.8125, 27.4107, 0, 27.4107
86.8175, 27.4073, 0, 27.4073
86.8225, 27.4039, 0, 27.4039
86.8275, 27.4004, 0, 27.4004
86.8325, 27.397, 0, 27.397
86.8375, 27.3936, 0, 27.3936
86.8425, 27.3902, 0, 27.3902
86.8475, 27.3868, 0, 27.3868
86.8525, 27.3834, 0, 27.3834
86.8575, 27.38, 0, 27.38
86.8625, 27.3766, 0, 27.3766
86.8675, 27.3732, 0, 27.3732
86.8725, 27.3697, 0, 27.3697
86.8775, 27.3663, 0, 27.3663
86.8825, 27.3629, 0, 27.3629
86.8875, 27.3595, 0, 27.3595
86.8925, 27.3561, 0, 27.3561
86.8975, 27.3527, 0, 27.3527
86.9025, 27.3493, 0, 27.3493
86.9075, 27.3459, 0, 27.3459
86.9125, 27.3425, 0, 27.3425
86.9175, 27.3391, 0, 27.3391
86.9225, 27.3357, 0, 27.3357
86.9275, 27.3323, 0, 27.3323
86.9325, 27.3289, 0, 27.3289
86.9375, 27.3255, 0, 27.3255
86.9425, 27.3221, 0, 27.3221
86.9475, 27.3187, 0, 27.3187
86.9525, 27.3153, 0, 27.3153
86.9575, 27.3119, 0, 27.3119
86.9625, 27.3085, 0, 27.3085
86.9675, 27.3051, 0, 27.3051
86.9725, 27.3017, 0, 27.3017
86.9775, 27.2983, 0, 27.2983
86.9825, 27.2949, 0, 27.2949
86.9875, 27.2915, 0, 27.2915
86.9925, 27.2881, 0, 27.2881
86.9975, 27.2847, 0, 27.2847
87.0025, 27.2813, 0, 27.2813
87.0075, 27.2779, 0, 27.2779
87.0125, 27.2745, 0, 27.2745
87.0175, 27.2711, 0, 27.2711
87.0225, 27.2677, 0, 27.2677
87.0275, 27.2644, 0, 27.2644
87.0325, 27.261, 0, 27.261
87.0375, 27.2576, 0, 27.2576
87.0425, 27.2542, 0, 27.2542
87.0475, 27.2508, 0, 27.2508
87.0525, 27.2474, 0, 27.2474
87.0575, 27.244, 0, 27.244
87.0625, 27.2407, 0, 27.2407
87.0675, 27.2373, 0, 27.2373
87.0725, 27.2339, 0, 27.2339
87.0775, 27.2305, 0, 27.2305
87.0825, 27.2271, 0, 27.2271
87.0875, 27.2238, 0, 27.2238
87.0925, 27.2204, 0, 27.2204
87.0975, 27.217, 0, 27.217
87.1025, 27.2136, 0, 27.2136
87.1075, 27.2103, 0, 27.2103
87.1125, 27.2069, 0, 27.2069
87.1175, 27.2035, 0, 27.2035
87.1225, 27.2002, 0, 27.2002
87.1275, 27.1968, 0, 27.1968
87.1325, 27.1934, 0, 27.1934
87.1375, 27.1901, 0, 27.1901
87.1425, 27.1867, 0, 27.1867
87.1475, 27.1833, 0, 27.1833
87.1525, 27.18, 0, 27.18
87.1575, 27.1766, 0, 27.1766
87.1625, 27.1732, 0, 27.1732
87.1675, 27.1699, 0, 27.1699
87.1725, 27.1665, 0, 27.1665
87.1775, 27.1632, 0, 27.1632
87.1825, 27.1598, 0, 27.1598
87.1875, 27.1565, 0, 27.1565
87.1925, 27.1531, 0, 27.1531
87.1975, 27.1498, 0, 27.1498
87.2025, 27.1464, 0, 27.1464
87.2075, 27.1431, 0, 27.1431
87.2125, 27.1397, 0, 27.1397
87.2175, 27.1364, 0, 27.1364
87.2225, 27.133, 0, 27.133
87.2275, 27.1297, 0, 27.1297
87.2325, 27.1264, 0, 27.1264
87.2375, 27.123, 0, 27.123
87.2425, 27.1197, 0, 27.1197
87.2475, 27.1164, 0, 27.1164
87.2525, 27.113, 0, 27.113
87.2575, 27.1097, 0, 27.1097
87.2625, 27.1064, 0, 27.1064
87.2675, 27.103, 0, 27.103
87.2725, 27.0997, 0, 27.0997
87.2775, 27.0964, 0, 27.0964
87.2825, 27.0931, 0, 27.0931
87.2875, 27.0897, 0, 27.0897
87.2925, 27.0864, 0, 27.0864
87.2975, 27.0831, 0, 27.0831
87.3025, 27.0798, 0, 27.0798
87.3075, 27.0765, 0, 27.0765
87.3125, 27.0732, 0, 27.0732
87.3175, 27.0698, 0, 27.0698
87.3225, 27.0665, 0, 27.0665
87.3275, 27.0632, 0, 27.0632
87.3325, 27.0599, 0, 27.0599
87.3375, 27.0566, 0, 27.0566
87.3425, 27.0533, 0, 27.0533
87.3475, 27.05, 0, 27.05
87.3525, 27.0467, 0, 27.0467
87.3575, 27.0434, 0, 27.0434
87.3625, 27.0401, 0, 27.0401
87.3675, 27.0368, 0, 27.0368
87.3725, 27.0335, 0, 27.0335
87.3775, 27.0302, 0, 27.0302
87.3825, 27.0269, 0, 27.0269
87.3875, 27.0236, 0, 27.0236
87.3925, 27.0203, 0, 27.0203
87.3975, 27.017, 0, 27.017
87.4025, 27.0137, 0, 27.0137
87.4075, 27.0105, 0, 27.0105
87.4125, 27.0072, 0, 27.0072
87.4175, 27.0039, 0, 27.0039
87.4225, 27.0006, 0, 27.0006
87.4275, 26.9973, 0, 26.9973
87.4325, 26.994, 0, 26.994
87.4375, 26.9908, 0, 26.9908
87.4425, 26.9875, 0, 26.9875
87.4475, 26.9842, 0, 26.9842
87.4525, 26.9809, 0, 26.9809
87.4575, 26.9777, 0, 26.9777
87.4625, 26.9744, 0, 26.9744
87.4675, 26.9711, 0, 26.9711
87.4725, 26.9679, 0, 26.9679
