Energy (keV), Spectra Total, Spectra Lines, Spectra Bremsstrahlung
8.0225, 2.46927, 0, 2.46927
8.0275, 2.46684, 0, 2.46684
8.0325, 2.46442, 0, 2.46442
8.0375, 2.46199, 0, 2.46199
8.0425, 2.45957, 0, 2.45957
8.0475, 2.45716, 0, 2.45716
8.0525, 2.45489, 0, 2.45489
8.0575, 2.45262, 0, 2.45262
8.0625, 2.45034, 0, 2.45034
8.0675, 2.44807, 0, 2.44807
8.0725, 2.4458, 0, 2.4458
8.0775, 2.44353, 0, 2.44353
8.0825, 2.44126, 0, 2.44126
8.0875, 2.43899, 0, 2.43899
8.0925, 2.43671, 0, 2.43671
8.0975, 2.43444, 0, 2.43444
8.1025, 2.43217, 0, 2.43217
8.1075, 2.4299, 0, 2.4299
8.1125, 2.42763, 0, 2.42763
8.1175, 2.42536, 0, 2.42536
8.1225, 2.42308, 0, 2.42308
8.1275, 2.42081, 0, 2.42081
8.1325, 2.41854, 0, 2.41854
8.1375, 2.41627, 0, 2.41627
8.1425, 2.414, 0, 2.414
8.1475, 2.41173, 0, 2.41173
8.1525, 2.40945, 0, 2.40945
8.1575, 2.40718, 0, 2.40718
8.1625, 2.40491, 0, 2.40491
8.1675, 2.40264, 0, 2.40264
8.1725, 2.40037, 0, 2.40037
8.1775, 2.39809, 0, 2.39809
8.1825, 2.39582, 0, 2.39582
8.1875, 2.39355, 0, 2.39355
8.1925, 2.39128, 0, 2.39128
8.1975, 2.38901, 0, 2.38901
8.2025, 2.38673, 0, 2.38673
8.2075, 2.38459, 0, 2.38459
8.2125, 2.38246, 0, 2.38246
8.2175, 2.38034, 0, 2.38034
8.2225, 2.37821, 0, 2.37821
8.2275, 2.37608, 0, 2.37608
8.2325, 2.37395, 0, 2.37395
8.2375, 2.37183, 0, 2.37183
8.2425, 2.3697, 0, 2.3697
8.2475, 2.36757, 0, 2.36757
8.2525, 2.36545, 0, 2.36545
8.2575, 2.36332, 0, 2.36332
8.2625, 2.36119, 0, 2.36119
8.2675, 2.35907, 0, 2.35907
8.2725, 2.35694, 0, 2.35694
8.2775, 2.35481, 0, 2.35481
8.2825, 2.35268, 0, 2.35268
8.2875, 2.35056, 0, 2.35056
8.2925, 2.34843, 0, 2.34843
8.2975, 2.3463, 0, 2.3463
8.3025, 2.34418, 0, 2.34418
8.3075, 2.34205, 0, 2.34205
8.3125, 2.33992, 0, 2.33992
8.3175, 2.3378, 0, 2.3378
8.3225, 2.33567, 0, 2.33567
8.3275, 2.33354, 0, 2.33354
8.3325, 2.33141, 0, 2.33141
8.3375, 2.32929, 0, 2.32929
8.3425, 2.32716, 0, 2.32716
8.3475, 2.32503, 0, 2.32503
8.3525, 2.3229, 0, 2.3229
8.3575, 2.32078, 0, 2.32078
8.3625, 2.31874, 0, 2.31874
8.3675, 2.31675, 0, 2.31675
8.3725, 2.31475, 0, 2.31475
8.3775, 2.31276, 0, 2.31276
8.3825, 2.31077, 0, 2.31077
8.3875, 2.30878, 0, 2.30878
8.3925, 2.30679, 0, 2.30679
8.3975, 2.3048, 0, 2.3048
8.4025, 2.30281, 0, 2.30281
8.4075, 2.30082, 0, 2.30082
8.4125, 2.29883, 0, 2.29883
8.4175, 2.29684, 0, 2.29684
8.4225, 2.29485, 0, 2.29485
8.4275, 2.29286, 0, 2.29286
8.4325, 2.29087, 0, 2.29087
8.4375, 2.28888, 0, 2.28888
8.4425, 2.28689, 0, 2.28689
8.4475, 2.2849, 0, 2.2849
8.4525, 2.2829, 0, 2.2829
8.4575, 2.28091, 0, 2.28091
8.4625, 2.27892, 0, 2.27892
8.4675, 2.27693, 0, 2.27693
8.4725, 2.27494, 0, 2.27494
8.4775, 2.27295, 0, 2.27295
8.4825, 2.27096, 0, 2.27096
8.4875, 2.26897, 0, 2.26897
8.4925, 2.26698, 0, 2.26698
8.4975, 2.26499, 0, 2.26499
8.5025, 2.263, 0, 2.263
8.5075, 2.26101, 0, 2.26101
8.5125, 2.25902, 0, 2.25902
8.5175, 2.25707, 0, 2.25707
8.5225, 2.25521, 0, 2.25521
8.5275, 2.25335, 0, 2.25335
8.5325, 2.25149, 0, 2.25149
8.5375, 2.24963, 0, 2.24963
8.5425, 2.24776, 0, 2.24776
8.5475, 2.2459, 0, 2.2459
8.5525, 2.24404, 0, 2.24404
8.5575, 2.24218, 0, 2.24218
8.5625, 2.24032, 0, 2.24032
8.5675, 2.23846, 0, 2.23846
8.5725, 2.23659, 0, 2.23659
8.5775, 2.23473, 0, 2.23473
8.5825, 2.23287, 0, 2.23287
8.5875, 2.23101, 0, 2.23101
8.5925, 2.22915, 0, 2.22915
8.5975, 2.22728, 0, 2.22728
8.6025, 2.22542, 0, 2.22542
8.6075, 2.22356, 0, 2.22356
8.6125, 2.2217, 0, 2.2217
8.6175, 2.21984, 0, 2.21984
8.6225, 2.21797, 0, 2.21797
8.6275, 2.21611, 0, 2.21611
8.6325, 2.21425, 0, 2.21425
8.6375, 2.21239, 0, 2.21239
8.6425, 2.21053, 0, 2.21053
8.6475, 2.20866, 0, 2.20866
8.6525, 2.2068, 0, 2.2068
8.6575, 2.20494, 0, 2.20494
8.6625, 2.20308, 0, 2.20308
8.6675, 2.20122, 0, 2.20122
8.6725, 2.19937, 0, 2.19937
8.6775, 2.19763, 0, 2.19763
8.6825, 2.19589, 0, 2.19589
8.6875, 2.19415, 0, 2.19415
8.6925, 2.19241, 0, 2.19241
8.6975, 2.19067, 0, 2.19067
8.7025, 2.18893, 0, 2.18893
8.7075, 2.18719, 0, 2.18719
8.7125, 2.18545, 0, 2.18545
8.7175, 2.18371, 0, 2.18371
8.7225, 2.18197, 0, 2.18197
8.7275, 2.18023, 0, 2.18023
8.7325, 2.17849, 0, 2.17849
8.7375, 2.17675, 0, 2.17675
8.7425, 2.17501, 0, 2.17501
8.7475, 2.17327, 0, 2.17327
8.7525, 2.17153, 0, 2.17153
8.7575, 2.16979, 0, 2.16979
8.7625, 2.16805, 0, 2.16805
8.7675, 2.16631, 0, 2.16631
8.7725, 2.16457, 0, 2.16457
8.7775, 2.16283, 0, 2.16283
8.7825, 2.16109, 0, 2.16109
8.7875, 2.15935, 0, 2.15935
8.7925, 2.15761, 0, 2.15761
8.7975, 2.15587, 0, 2.15587
8.8025, 2.15413, 0, 2.15413
8.8075, 2.15239, 0, 2.15239
8.8125, 2.15064, 0, 2.15064
8.8175, 2.1489, 0, 2.1489
8.8225, 2.14716, 0, 2.14716
8.8275, 2.14542, 0, 2.14542
8.8325, 2.14378, 0, 2.14378
8.8375, 2.14216, 0, 2.14216
8.8425, 2.14053, 0, 2.14053
8.8475, 2.13891, 0, 2.13891
8.8525, 2.13728, 0, 2.13728
8.8575, 2.13566, 0, 2.13566
8.8625, 2.13403, 0, 2.13403
8.8675, 2.13241, 0, 2.13241
8.8725, 2.13078, 0, 2.13078
8.8775, 2.12916, 0, 2.12916
8.8825, 2.12753, 0, 2.12753
8.8875, 2.12591, 0, 2.12591
8.8925, 2.12428, 0, 2.12428
8.8975, 2.12266, 0, 2.12266
8.9025, 2.12103, 0, 2.12103
8.9075, 2.11941, 0, 2.11941
8.9125, 2.11778, 0, 2.11778
8.9175, 2.11616, 0, 2.11616
8.9225, 2.11453, 0, 2.11453
8.9275, 2.11291, 0, 2.11291
8.9325, 2.11128, 0, 2.11128
8.9375, 2.10966, 0, 2.10966
8.9425, 2.10803, 0, 2.10803
8.9475, 2.10641, 0, 2.10641
8.9525, 2.10478, 0, 2.10478
8.9575, 2.10316, 0, 2.10316
8.9625, 2.10153, 0, 2.10153
8.9675, 2.09991, 0, 2.09991
8.9725, 2.09828, 0, 2.09828
8.9775, 2.09666, 0, 2.09666
8.9825, 2.09503, 0, 2.09503
8.9875, 2.09347, 0, 2.09347
8.9925, 2.09196, 0, 2.09196
8.9975, 2.09044, 0, 2.09044
9.0025, 2.08892, 0, 2.08892
9.0075, 2.08741, 0, 2.08741
9.0125, 2.08589, 0, 2.08589
9.0175, 2.08438, 0, 2.08438
9.0225, 2.08286, 0, 2.08286
9.0275, 2.08134, 0, 2.08134
9.0325, 2.07983, 0, 2.07983
9.0375, 2.07831, 0, 2.07831
9.0425, 2.07679, 0, 2.07679
9.0475, 2.07528, 0, 2.07528
9.0525, 2.07376, 0, 2.07376
9.0575, 2.07225, 0, 2.07225
9.0625, 2.07073, 0, 2.07073
9.0675, 2.06921, 0, 2.06921
