X (nm), Y (nm), Z (nm), Corrected X (nm), Corrected Y (nm), Corrected Z (nm), E (keV), DeltaE (keV), Theta (rad), Corrected Theta (rad), Phi (rad), Corrected Phi (rad)
1.32598, 1.9781, 0, 1.32598, 1.9781, 0, 0.840354, 0.159646, 2.20777, 2.20777, 1.07728, 1.07728
-5.3128, 2.04021, 0, -5.3128, 2.04021, 0, 0.402579, 0.597421, 2.30678, 2.30678, 3.27716, 3.27716
-1.95074, -0.558258, 0, -1.95074, -0.558258, 0, 0.206168, 0.793832, 2.69738, 2.69738, 0.655217, 0.655217
-0.11549, -0.470375, 0, -0.11549, -0.470375, 0, 0.881284, 0.118716, 2.49771, 2.49771, 1.4955, 1.4955
0.167362, -1.72092, 0, 0.167362, -1.72092, 0, 0.793823, 0.206177, 2.03861, 2.03861, 4.92539, 4.92539
0.268815, -0.100741, 0, 0.268815, -0.100741, 0, 0.639678, 0.360322, 2.49165, 2.49165, 3.29921, 3.29921
5.83064, -1.31009, 0, 5.83064, -1.31009, 0, 0.0650586, 0.934941, 2.69888, 2.69888, 3.45848, 3.45848
3.51956, 4.4929, 0, 3.51956, 4.4929, 0, 0.59269, 0.40731, 2.11637, 2.11637, 1.30405, 1.30405
-0.771208, 0.633433, 0, -0.771208, 0.633433, 0, 0.87011, 0.12989, 2.11214, 2.11214, 2.91682, 2.91682
1.78309, -6.26294, 0, 1.78309, -6.26294, 0, 0.57313, 0.42687, 2.20053, 2.20053, 5.25325, 5.25325
1.9031, -0.562567, 0, 1.9031, -0.562567, 0, 0.862727, 0.137273, 2.07886, 2.07886, 6.02809, 6.02809
0.322577, 0.800287, 0, 0.322577, 0.800287, 0, 0.862795, 0.137205, 2.47242, 2.47242, 2.46428, 2.46428
1.4813, -1.18369, 0, 1.4813, -1.18369, 0, 0.632881, 0.367119, 2.32123, 2.32123, 0.0361318, 0.0361318
0.22211, -1.44597, 0, 0.22211, -1.44597, 0, 0.885373, 0.114627, 2.56898, 2.56898, 4.35655, 4.35655
1.43019, 0.137811, 0, 1.43019, 0.137811, 0, 0.760818, 0.239182, 2.48025, 2.48025, 0.530944, 0.530944
-4.8845, -3.3389, 0, -4.8845, -3.3389, 0, 0.481894, 0.518106, 2.07741, 2.07741, 4.73532, 4.73532
-1.19846, -2.92778, 5.55112e-018, -1.19846, -2.92778, 5.55112e-018, 0.336498, 0.663502, 2.46089, 2.46089, 5.16195, 5.16195
-0.308447, -3.79503, 0, -0.308447, -3.79503, 0, 0.769389, 0.230611, 2.74477, 2.74477, 3.54604, 3.54604
-1.01906, -0.562553, 0, -1.01906, -0.562553, 0, 0.901078, 0.0989221, 2.19489, 2.19489, 3.86357, 3.86357
0.711118, 0.271857, 0, 0.711118, 0.271857, 0, 0.677128, 0.322872, 2.6345, 2.6345, 2.54199, 2.54199
-0.0141027, -0.197407, 0, -0.0141027, -0.197407, 0, 0.974029, 0.0259714, 2.52473, 2.52473, 4.58248, 4.58248
0.59046, -0.762015, 0, 0.59046, -0.762015, 0, 0.799547, 0.200453, 2.55236, 2.55236, 4.92111, 4.92111
-1.37199, 0.298869, 0, -1.37199, 0.298869, 0, 0.629219, 0.370781, 2.83808, 2.83808, 4.61489, 4.61489
0.223551, -0.307539, 0, 0.223551, -0.307539, 0, 0.96003, 0.03997, 2.1849, 2.1849, 5.48203, 5.48203
-3.01862, 3.88378, 0, -3.01862, 3.88378, 0, 0.00902716, 0.990973, 2.81405, 2.81405, 4.49138, 4.49138
5.46668, 4.71358, 0, 5.46668, 4.71358, 0, 0.11661, 0.88339, 2.38947, 2.38947, 0.222937, 0.222937
2.06339, 0.252918, 0, 2.06339, 0.252918, 0, 0.853431, 0.146569, 2.48293, 2.48293, 6.06549, 6.06549
-6.28488, -1.41405, 0, -6.28488, -1.41405, 0, 0.165808, 0.834192, 3.1171, 3.1171, 2.00427, 2.00427
-7.68463, -2.30897, 0, -7.68463, -2.30897, 0, 0.545062, 0.454938, 2.51076, 2.51076, 3.9017, 3.9017
3.57112, -5.36904, 0, 3.57112, -5.36904, 0, 0.0740139, 0.925986, 2.52029, 2.52029, 1.66788, 1.66788
-0.0503443, 3.51053, 0, -0.0503443, 3.51053, 0, 0.594356, 0.405644, 2.44724, 2.44724, 0.108763, 0.108763
0.517042, 0.485797, 0, 0.517042, 0.485797, 0, 0.267481, 0.732519, 2.83864, 2.83864, 1.97281, 1.97281
-1.51849, -1.61615, 0, -1.51849, -1.61615, 0, 0.635259, 0.364741, 2.87974, 2.87974, 3.01979, 3.01979
-0.386358, 5.61093, 0, -0.386358, 5.61093, 0, 0.508218, 0.491782, 2.0602, 2.0602, 0.231497, 0.231497
-5.68191, -2.4122, 0, -5.68191, -2.4122, 0, 0.455049, 0.544951, 2.3533, 2.3533, 4.82253, 4.82253
0.29907, -3.95659, 0, 0.29907, -3.95659, 0, 0.682969, 0.317031, 2.21639, 2.21639, 3.94912, 3.94912
-0.464657, 0.291312, 2.22045e-017, -0.464657, 0.291312, 2.22045e-017, 0.95296, 0.0470399, 2.41072, 2.41072, 2.85815, 2.85815
0.0115679, -2.20398e-005, 1.38778e-018, 0.0115679, -2.20398e-005, 1.38778e-018, 0.998829, 0.00117077, 2.32559, 2.32559, 6.28128, 6.28128
-0.696137, -0.0922251, 0, -0.696137, -0.0922251, 0, 0.865125, 0.134875, 2.47829, 2.47829, 3.53389, 3.53389
1.90356, -4.03223, 2.22045e-017, 1.90356, -4.03223, 2.22045e-017, 0.755477, 0.244523, 2.24173, 2.24173, 5.62533, 5.62533
3.31158, -6.43883, 0, 3.31158, -6.43883, 0, 0.21745, 0.78255, 2.10968, 2.10968, 4.78352, 4.78352
3.21794, 0.2454, 0, 3.21794, 0.2454, 0, 0.538036, 0.461964, 2.38783, 2.38783, 0.254586, 0.254586
-0.0127332, -1.19913, 0, -0.0127332, -1.19913, 0, 0.927726, 0.0722741, 2.67713, 2.67713, 2.90621, 2.90621
0.627357, -0.966736, 0, 0.627357, -0.966736, 0, 0.896609, 0.103391, 2.27274, 2.27274, 5.3703, 5.3703
1.54517, -1.53855, 0, 1.54517, -1.53855, 0, 0.43454, 0.56546, 2.4822, 2.4822, 5.34237, 5.34237
0.0958127, 0.0166762, 0, 0.0958127, 0.0166762, 0, 0.927265, 0.0727352, 1.95223, 1.95223, 6.15672, 6.15672
0.330197, 5.53662, 0, 0.330197, 5.53662, 0, 0.70793, 0.29207, 1.76164, 1.76164, 1.87586, 1.87586
-0.339504, 0.134588, 0, -0.339504, 0.134588, 0, 0.95459, 0.0454101, 2.40771, 2.40771, 2.68431, 2.68431
-1.38174, -5.08986, 0, -1.38174, -5.08986, 0, 0.619054, 0.380946, 2.17667, 2.17667, 4.65124, 4.65124
-3.67534, 1.57745, 0, -3.67534, 1.57745, 0, 0.238685, 0.761315, 1.90091, 1.90091, 3.87786, 3.87786
0.683012, 1.24886, 0, 0.683012, 1.24886, 0, 0.663945, 0.336055, 2.06486, 2.06486, 4.79863, 4.79863
-1.41738, 0.0272442, 0, -1.41738, 0.0272442, 0, 0.911988, 0.0880116, 1.69001, 1.69001, 3.18527, 3.18527
-0.506738, -0.01124, 0, -0.506738, -0.01124, 0, 0.967917, 0.0320829, 1.92422, 1.92422, 2.30965, 2.30965
4.77133, 0.0122189, 0, 4.77133, 0.0122189, 0, 0.604727, 0.395273, 2.38441, 2.38441, 0.139531, 0.139531
0.616712, 3.28615, 0, 0.616712, 3.28615, 0, 0.778479, 0.221521, 2.63553, 2.63553, 1.96394, 1.96394
1.79319, -2.30084, 0, 1.79319, -2.30084, 0, 0.76114, 0.23886, 2.08613, 2.08613, 6.10407, 6.10407
1.24358, 0.874853, 0, 1.24358, 0.874853, 0, 0.758768, 0.241232, 2.53428, 2.53428, 4.86036, 4.86036
-0.966799, -1.58951, 0, -0.966799, -1.58951, 0, 0.415983, 0.584017, 2.26554, 2.26554, 3.63337, 3.63337
-1.72768, 1.71406, 0, -1.72768, 1.71406, 0, 0.831006, 0.168994, 1.73172, 1.73172, 1.69296, 1.69296
-0.152634, -0.21364, 0, -0.152634, -0.21364, 0, 0.955464, 0.0445358, 2.66975, 2.66975, 4.14365, 4.14365
0.0159466, 0.458714, 0, 0.0159466, 0.458714, 0, 0.948673, 0.0513267, 2.39475, 2.39475, 1.55242, 1.55242
-0.950881, -0.440489, 0, -0.950881, -0.440489, 0, 0.909313, 0.0906875, 2.22715, 2.22715, 3.60485, 3.60485
0.0411339, -0.233119, 0, 0.0411339, -0.233119, 0, 0.978981, 0.0210186, 2.2222, 2.2222, 4.90802, 4.90802
0.060991, -0.556575, 0, 0.060991, -0.556575, 0, 0.881517, 0.118483, 2.12017, 2.12017, 4.04193, 4.04193
0.342022, -3.84637, 0, 0.342022, -3.84637, 0, 0.579306, 0.420694, 2.40796, 2.40796, 2.18368, 2.18368
-3.52253, -2.1593, 0, -3.52253, -2.1593, 0, 0.647004, 0.352996, 2.25163, 2.25163, 1.24916, 1.24916
0.740679, 0.313793, 0, 0.740679, 0.313793, 0, 0.771567, 0.228433, 2.64399, 2.64399, 0.222838, 0.222838
-1.9687, -7.98061, 0, -1.9687, -7.98061, 0, 0.0790658, 0.920934, 2.37715, 2.37715, 2.11704, 2.11704
1.48758, -0.210213, 0, 1.48758, -0.210213, 0, 0.818383, 0.181617, 1.99295, 1.99295, 0.25073, 0.25073
-1.52077, 4.45063, 0, -1.52077, 4.45063, 0, 0.00991821, 0.990082, 2.03186, 2.03186, 2.47774, 2.47774
-1.54603, -1.61641, 0, -1.54603, -1.61641, 0, 0.449312, 0.550688, 2.1532, 2.1532, 6.06116, 6.06116
1.82811, 0.145681, 0, 1.82811, 0.145681, 0, 0.874648, 0.125352, 2.29956, 2.29956, 0.244665, 0.244665
-1.44975, -1.55802, 0, -1.44975, -1.55802, 0, 0.804668, 0.195332, 2.07005, 2.07005, 4.34875, 4.34875
-0.032604, 0.0539396, 0, -0.032604, 0.0539396, 0, 0.990386, 0.00961447, 2.58254, 2.58254, 2.11448, 2.11448
-0.445427, -0.0396999, 0, -0.445427, -0.0396999, 0, 0.858486, 0.141514, 2.48851, 2.48851, 2.93493, 2.93493
0.185885, -0.765609, 0, 0.185885, -0.765609, 0, 0.626277, 0.373723, 1.92347, 1.92347, 3.34258, 3.34258
1.31768, -4.47889, 0, 1.31768, -4.47889, 0, 0.324309, 0.675691, 1.89473, 1.89473, 0.314756, 0.314756
5.79086, 3.99026, 0, 5.79086, 3.99026, 0, 0.218089, 0.781911, 2.74516, 2.74516, 5.98375, 5.98375
-3.26338, 8.59777, 0, -3.26338, 8.59777, 0, 0.278889, 0.721111, 2.07652, 2.07652, 2.8204, 2.8204
-4.19604, -0.154094, 0, -4.19604, -0.154094, 0, 0.721757, 0.278243, 2.01652, 2.01652, 3.26779, 3.26779
0.390462, 0.105647, 0, 0.390462, 0.105647, 0, 0.973736, 0.0262642, 1.95387, 1.95387, 0.264242, 0.264242
0.142924, -0.716572, 0, 0.142924, -0.716572, 0, 0.941633, 0.0583667, 1.99956, 1.99956, 5.24341, 5.24341
0.0745386, 4.74232, 0, 0.0745386, 4.74232, 0, 0.442363, 0.557637, 1.63971, 1.63971, 2.29263, 2.29263
0.160311, -0.396006, 0, 0.160311, -0.396006, 0, 0.840976, 0.159024, 2.14908, 2.14908, 3.00993, 3.00993
4.78904, -1.47634, 0, 4.78904, -1.47634, 0, 0.257831, 0.742169, 2.74466, 2.74466, 0.15064, 0.15064
0.431543, -2.17492, 0, 0.431543, -2.17492, 0, 0.876846, 0.123154, 2.22952, 2.22952, 4.54791, 4.54791
1.48323, -1.65348, 0, 1.48323, -1.65348, 0, 0.735802, 0.264198, 2.54495, 2.54495, 5.18741, 5.18741
0.432494, 2.35983, 0, 0.432494, 2.35983, 0, 0.656803, 0.343197, 2.51338, 2.51338, 2.67257, 2.67257
0.438698, -0.783345, 0, 0.438698, -0.783345, 0, 0.922322, 0.0776778, 2.06247, 2.06247, 5.01019, 5.01019
-0.814691, 0.056317, 0, -0.814691, 0.056317, 0, 0.780731, 0.219269, 2.30632, 2.30632, 0.539712, 0.539712
-0.443078, 0.0893549, 0, -0.443078, 0.0893549, 0, 0.866113, 0.133887, 2.94924, 2.94924, 2.86048, 2.86048
0.0182821, -0.231346, 0, 0.0182821, -0.231346, 0, 0.98866, 0.0113401, 1.63067, 1.63067, 4.89689, 4.89689
0.579314, -0.43473, 0, 0.579314, -0.43473, 0, 0.919273, 0.0807271, 2.38599, 2.38599, 5.72112, 5.72112
-0.568156, -0.277613, 0, -0.568156, -0.277613, 0, 0.934134, 0.0658662, 2.70731, 2.70731, 3.36835, 3.36835
-3.76488, 1.0685, 0, -3.76488, 1.0685, 0, 0.650595, 0.349405, 2.54137, 2.54137, 1.25961, 1.25961
1.5866, -1.48638, 0, 1.5866, -1.48638, 0, 0.630806, 0.369194, 2.57761, 2.57761, 1.86121, 1.86121
-1.04774, 1.58428, 0, -1.04774, 1.58428, 0, 0.225259, 0.774741, 2.52509, 2.52509, 3.46763, 3.46763
-0.682652, -2.53501, 0, -0.682652, -2.53501, 0, 0.702421, 0.297579, 2.1773, 2.1773, 3.27461, 3.27461
-0.277713, -0.536504, 0, -0.277713, -0.536504, 0, 0.940172, 0.0598282, 2.27781, 2.27781, 4.19323, 4.19323
1.593, 0.488976, 0, 1.593, 0.488976, 0, 0.781831, 0.218169, 2.27173, 2.27173, 6.1712, 6.1712
0.110176, -1.82829, 0, 0.110176, -1.82829, 0, 0.862261, 0.137739, 2.08466, 2.08466, 5.00756, 5.00756
3.42745, 0.19885, 0, 3.42745, 0.19885, 0, 0.713733, 0.286267, 1.96216, 1.96216, 0.71482, 0.71482
-0.999952, -0.769191, 2.22045e-017, -0.999952, -0.769191, 2.22045e-017, 0.537612, 0.462388, 2.81387, 2.81387, 3.26898, 3.26898
2.27543, 0.829166, 0, 2.27543, 0.829166, 0, 0.725667, 0.274333, 2.41031, 2.41031, 5.79784, 5.79784
0.359832, 0.166174, 4.44089e-017, 0.359832, 0.166174, 4.44089e-017, 0.966385, 0.0336145, 2.18655, 2.18655, 0.432631, 0.432631
-2.00379, -1.18014, 0, -2.00379, -1.18014, 0, 0.847737, 0.152263, 2.53449, 2.53449, 3.27855, 3.27855
0.0176193, -0.018095, 0, 0.0176193, -0.018095, 0, 0.996452, 0.00354799, 2.53766, 2.53766, 5.48447, 5.48447
8.53819, -2.60576, 0, 8.53819, -2.60576, 0, 0.0130885, 0.986911, 2.64021, 2.64021, 5.79215, 5.79215
-0.284107, -0.581299, 0, -0.284107, -0.581299, 0, 0.965031, 0.0349689, 1.66006, 1.66006, 4.11766, 4.11766
-2.08442, -1.15236, 0, -2.08442, -1.15236, 0, 0.703538, 0.296462, 2.60095, 2.60095, 6.14633, 6.14633
-1.65935, 1.67231, 0, -1.65935, 1.67231, 0, 0.244523, 0.755477, 2.5245, 2.5245, 3.68144, 3.68144
0.188, -0.143744, 0, 0.188, -0.143744, 0, 0.884012, 0.115988, 2.36933, 2.36933, 1.06101, 1.06101
-2.20533, 5.67894, 0, -2.20533, 5.67894, 0, 0.593161, 0.406839, 2.705, 2.705, 2.70579, 2.70579
0.571318, 0.721498, 0, 0.571318, 0.721498, 0, 0.917012, 0.0829881, 2.11921, 2.11921, 0.833534, 0.833534
-1.52162, -1.51123, 0, -1.52162, -1.51123, 0, 0.631328, 0.368672, 2.70599, 2.70599, 5.53284, 5.53284
1.18435, 1.21114, 0, 1.18435, 1.21114, 0, 0.778882, 0.221118, 2.39005, 2.39005, 6.13091, 6.13091
4.55341, -0.46358, 0, 4.55341, -0.46358, 0, 0.530222, 0.469778, 2.62929, 2.62929, 1.8927, 1.8927
-0.511287, 1.42306, 0, -0.511287, 1.42306, 0, 0.534525, 0.465475, 2.84493, 2.84493, 5.83261, 5.83261
4.09202, 2.5151, 0, 4.09202, 2.5151, 0, 0.431564, 0.568436, 2.39399, 2.39399, 3.43837, 3.43837
-1.48067, 2.51882, 0, -1.48067, 2.51882, 0, 0.474483, 0.525517, 2.3925, 2.3925, 2.1555, 2.1555
0.0839996, 0.0664071, 0, 0.0839996, 0.0664071, 0, 0.994633, 0.00536652, 1.70619, 1.70619, 0.668961, 0.668961
-5.54661, -4.69187, 0, -5.54661, -4.69187, 0, 0.29336, 0.70664, 2.30172, 2.30172, 2.15327, 2.15327
-4.24327, -2.75916, 0, -4.24327, -2.75916, 0, 0.208758, 0.791242, 2.45376, 2.45376, 3.82571, 3.82571
-5.93483, -3.84876, 0, -5.93483, -3.84876, 0, 0.44397, 0.55603, 2.34682, 2.34682, 4.81322, 4.81322
2.96971, 4.2818, 0, 2.96971, 4.2818, 0, 0.379442, 0.620558, 1.96844, 1.96844, 1.87319, 1.87319
-3.16248, -3.43876, 0, -3.16248, -3.43876, 0, 0.694979, 0.305021, 2.57396, 2.57396, 4.38413, 4.38413
0.254434, 0.289066, 0, 0.254434, 0.289066, 0, 0.726321, 0.273679, 2.78841, 2.78841, 4.80454, 4.80454
0.991811, 0.128707, 0, 0.991811, 0.128707, 0, 0.915995, 0.0840049, 2.04029, 2.04029, 2.53104, 2.53104
-4.46591, 0.195724, 0, -4.46591, 0.195724, 0, 0.0223936, 0.977606, 2.13696, 2.13696, 3.45111, 3.45111
0.124131, 0.111192, 0, 0.124131, 0.111192, 0, 0.980186, 0.0198138, 2.49923, 2.49923, 0.758787, 0.758787
-0.0902347, 1.03683, 0, -0.0902347, 1.03683, 0, 0.647133, 0.352867, 2.95665, 2.95665, 1.07657, 1.07657
0.354396, 0.340653, 0, 0.354396, 0.340653, 0, 0.947683, 0.0523168, 2.33959, 2.33959, 0.774767, 0.774767
2.33492, 0.137467, 0, 2.33492, 0.137467, 0, 0.859726, 0.140274, 2.08663, 2.08663, 6.25196, 6.25196
0.025127, -0.198953, 0, 0.025127, -0.198953, 0, 0.977622, 0.0223776, 2.37605, 2.37605, 4.98186, 4.98186
-2.24366, 2.21922, 0, -2.24366, 2.21922, 0, 0.729199, 0.270801, 2.74922, 2.74922, 3.87982, 3.87982
-0.121511, -0.241637, 0, -0.121511, -0.241637, 0, 0.927197, 0.0728028, 2.75424, 2.75424, 4.10929, 4.10929
1.31437, 1.95108, 0, 1.31437, 1.95108, 0, 0.489917, 0.510083, 2.35932, 2.35932, 4.39941, 4.39941
1.50539, 2.05071, 2.22045e-017, 1.50539, 2.05071, 2.22045e-017, 0.739613, 0.260387, 2.42508, 2.42508, 1.9722, 1.9722
-4.51523, 0.717198, 0, -4.51523, 0.717198, 0, 0.632072, 0.367928, 2.18798, 2.18798, 2.15624, 2.15624
-4.53153, 2.33883, 0, -4.53153, 2.33883, 0, 0.405976, 0.594024, 2.16837, 2.16837, 2.39922, 2.39922
1.10551, -3.79516, 0, 1.10551, -3.79516, 0, 0.582061, 0.417939, 2.5507, 2.5507, 5.5141, 5.5141
-1.40441, -0.64593, 0, -1.40441, -0.64593, 0, 0.0578682, 0.942132, 1.83314, 1.83314, 4.29841, 4.29841
0.680829, -0.26184, 0, 0.680829, -0.26184, 0, 0.852963, 0.147037, 2.60684, 2.60684, 0.623863, 0.623863
-1.3152, -0.868973, 0, -1.3152, -0.868973, 0, 0.0888612, 0.911139, 2.39962, 2.39962, 4.79607, 4.79607
0.60764, -0.0375034, 0, 0.60764, -0.0375034, 0, 0.273067, 0.726933, 2.98663, 2.98663, 5.40569, 5.40569
-0.0128886, -0.0471478, 0, -0.0128886, -0.0471478, 0, 0.997083, 0.00291672, 1.87628, 1.87628, 4.44554, 4.44554
0.0561429, 0.0148907, 0, 0.0561429, 0.0148907, 0, 0.982794, 0.0172058, 2.84785, 2.84785, 0.25926, 0.25926
-0.724247, -0.00577696, 0, -0.724247, -0.00577696, 0, 0.714972, 0.285028, 1.84548, 1.84548, 3.87186, 3.87186
1.37948, -1.19945, 0, 1.37948, -1.19945, 0, 0.472118, 0.527882, 1.72092, 1.72092, 3.58129, 3.58129
-0.279581, -2.66395, 0, -0.279581, -2.66395, 0, 0.67515, 0.32485, 2.83173, 2.83173, 3.58115, 3.58115
2.58294, 1.5489, 0, 2.58294, 1.5489, 0, 0.735322, 0.264678, 2.01564, 2.01564, 0.277304, 0.277304
-2.90135, 0.599897, 0, -2.90135, 0.599897, 0, 0.715691, 0.284309, 2.71609, 2.71609, 2.93639, 2.93639
-1.7225, 0.609159, 0, -1.7225, 0.609159, 0, 0.77982, 0.22018, 2.0388, 2.0388, 4.5889, 4.5889
-1.93218, 0.359452, 0, -1.93218, 0.359452, 0, 0.754703, 0.245297, 2.60571, 2.60571, 3.54838, 3.54838
-0.361635, -2.5257, 0, -0.361635, -2.5257, 0, 0.795351, 0.204649, 1.68668, 1.68668, 4.45233, 4.45233
0.782996, 0.511532, 0, 0.782996, 0.511532, 0, 0.8446, 0.1554, 2.77261, 2.77261, 0.628228, 0.628228
2.32105, -2.61901, 0, 2.32105, -2.61901, 0, 0.507901, 0.492099, 2.66382, 2.66382, 1.44998, 1.44998
-1.27144, -0.0153374, 0, -1.27144, -0.0153374, 0, 0.733228, 0.266772, 2.52744, 2.52744, 2.08057, 2.08057
-1.71884, -0.3381, 0, -1.71884, -0.3381, 0, 0.691877, 0.308123, 2.31217, 2.31217, 3.32444, 3.32444
1.22921, 3.88698, 0, 1.22921, 3.88698, 0, 0.660923, 0.339077, 2.48337, 2.48337, 3.91981, 3.91981
2.75766, -0.625494, 0, 2.75766, -0.625494, 0, 0.0770924, 0.922908, 2.02682, 2.02682, 6.01265, 6.01265
-1.30996, 1.00579, 0, -1.30996, 1.00579, 0, 0.895867, 0.104133, 2.00373, 2.00373, 2.40783, 2.40783
1.29309, -0.468408, 0, 1.29309, -0.468408, 0, 0.933598, 0.0664022, 1.68907, 1.68907, 5.62472, 5.62472
1.44819, 0.589085, 0, 1.44819, 0.589085, 0, 0.630151, 0.369849, 2.51256, 2.51256, 5.72739, 5.72739
-2.29505, -2.79889, 0, -2.29505, -2.79889, 0, 0.772069, 0.227931, 1.89255, 1.89255, 4.01934, 4.01934
-1.8161, -2.60154, 0, -1.8161, -2.60154, 0, 0.599124, 0.400876, 2.58192, 2.58192, 1.44848, 1.44848
-1.53017, 0.355213, 0, -1.53017, 0.355213, 0, 0.860657, 0.139343, 2.56038, 2.56038, 2.90276, 2.90276
-3.56565, -1.20856, 0, -3.56565, -1.20856, 0, 0.223081, 0.776919, 2.14073, 2.14073, 5.91337, 5.91337
2.91177, -3.57741, 0, 2.91177, -3.57741, 0, 0.434632, 0.565368, 2.30065, 2.30065, 5.46077, 5.46077
-0.314235, -0.126342, 0, -0.314235, -0.126342, 0, 0.926494, 0.0735064, 2.85121, 2.85121, 3.23249, 3.23249
0.412425, 0.513714, 0, 0.412425, 0.513714, 0, 0.95859, 0.0414095, 1.79202, 1.79202, 1.13195, 1.13195
1.23044, -4.51321, 0, 1.23044, -4.51321, 0, 0.676807, 0.323193, 2.55228, 2.55228, 4.69008, 4.69008
2.72659, -0.437268, 0, 2.72659, -0.437268, 0, 0.363207, 0.636793, 2.52822, 2.52822, 5.73196, 5.73196
0.150978, -1.59872, 0, 0.150978, -1.59872, 0, 0.834306, 0.165694, 2.8049, 2.8049, 4.24405, 4.24405
7.20295, 3.1304, 0, 7.20295, 3.1304, 0, 0.255056, 0.744944, 2.3439, 2.3439, 6.2561, 6.2561
3.18703, -0.25983, 0, 3.18703, -0.25983, 0, 0.755008, 0.244992, 1.712, 1.712, 1.11516, 1.11516
2.28728, -0.240351, 0, 2.28728, -0.240351, 0, 0.713459, 0.286541, 2.8887, 2.8887, 4.93519, 4.93519
0.718914, -2.62883, 0, 0.718914, -2.62883, 0, 0.782523, 0.217477, 2.48661, 2.48661, 4.87216, 4.87216
1.54618, 2.21189, 0, 1.54618, 2.21189, 0, 0.826875, 0.173125, 2.08058, 2.08058, 3.93023, 3.93023
1.73009, -3.49129, 0, 1.73009, -3.49129, 0, 0.616537, 0.383463, 2.54372, 2.54372, 5.77721, 5.77721
3.05949, 0.784128, 0, 3.05949, 0.784128, 0, 0.477041, 0.522959, 2.8354, 2.8354, 5.6684, 5.6684
0.77729, 0.730511, 0, 0.77729, 0.730511, 0, 0.405331, 0.594669, 2.61072, 2.61072, 0.30108, 0.30108
-3.52855, -1.23507, 0, -3.52855, -1.23507, 0, 0.761938, 0.238062, 2.4768, 2.4768, 3.24722, 3.24722
1.15184, 0.565072, 0, 1.15184, 0.565072, 0, 0.868193, 0.131807, 2.4407, 2.4407, 0.160823, 0.160823
-2.22703, 2.10267, 0, -2.22703, 2.10267, 0, 0.176928, 0.823072, 1.9916, 1.9916, 4.93183, 4.93183
2.08287, -4.25225, 0, 2.08287, -4.25225, 0, 0.687093, 0.312907, 1.86628, 1.86628, 5.24591, 5.24591
-4.63256, -2.26897, 0, -4.63256, -2.26897, 0, 0.452647, 0.547353, 2.47715, 2.47715, 1.7576, 1.7576
-0.403539, -0.280472, 0, -0.403539, -0.280472, 0, 0.938201, 0.0617988, 2.16412, 2.16412, 3.95282, 3.95282
-0.349016, 0.367391, 0, -0.349016, 0.367391, 0, 0.932617, 0.0673833, 2.84556, 2.84556, 1.99473, 1.99473
4.8102, 1.63357, 0, 4.8102, 1.63357, 0, 0.588171, 0.411829, 2.47805, 2.47805, 6.25051, 6.25051
-1.11135, -0.180513, 0, -1.11135, -0.180513, 0, 0.871998, 0.128002, 2.33709, 2.33709, 4.05254, 4.05254
-0.118652, -2.08616, 0, -0.118652, -2.08616, 0, 0.700586, 0.299414, 2.3923, 2.3923, 5.40566, 5.40566
2.70749, 0.948667, 0, 2.70749, 0.948667, 0, 0.335312, 0.664688, 2.77771, 2.77771, 5.48084, 5.48084
0.509321, 0.864618, 0, 0.509321, 0.864618, 0, 0.414435, 0.585565, 2.94999, 2.94999, 1.78334, 1.78334
-3.82542, -0.640414, 0, -3.82542, -0.640414, 0, 0.397951, 0.602049, 2.14876, 2.14876, 2.55482, 2.55482
0.323563, 0.612607, 0, 0.323563, 0.612607, 0, 0.850081, 0.149919, 2.67579, 2.67579, 0.595103, 0.595103
0.247347, 0.147072, 2.22045e-017, 0.247347, 0.147072, 2.22045e-017, 0.87968, 0.12032, 2.34292, 2.34292, 2.83603, 2.83603
-1.56096, 1.55359, 0, -1.56096, 1.55359, 0, 0.829117, 0.170883, 2.57265, 2.57265, 1.57314, 1.57314
-0.520812, 0.351195, 0, -0.520812, 0.351195, 0, 0.358897, 0.641103, 2.93656, 2.93656, 2.69287, 2.69287
-3.08087, -1.20035, 0, -3.08087, -1.20035, 0, 0.674912, 0.325088, 2.78824, 2.78824, 4.04665, 4.04665
-0.486017, 0.388104, 0, -0.486017, 0.388104, 0, 0.95788, 0.0421204, 2.07137, 2.07137, 2.20415, 2.20415
-1.72676, -0.334709, 0, -1.72676, -0.334709, 0, 0.849444, 0.150556, 2.23724, 2.23724, 3.88916, 3.88916
4.20778, 3.87952, 0, 4.20778, 3.87952, 0, 0.394854, 0.605146, 2.5016, 2.5016, 5.23611, 5.23611
3.61199, 5.11802, 0, 3.61199, 5.11802, 0, 0.558974, 0.441026, 2.389, 2.389, 1.05836, 1.05836
-1.9005, -5.42728, 0, -1.9005, -5.42728, 0, 0.609804, 0.390196, 2.13748, 2.13748, 4.38701, 4.38701
0.119638, 0.230138, 0, 0.119638, 0.230138, 0, 0.982507, 0.0174926, 1.96796, 1.96796, 1.01633, 1.01633
-4.41464, 2.44303, 0, -4.41464, 2.44303, 0, 0.358698, 0.641302, 2.85265, 2.85265, 2.56237, 2.56237
0.720259, -0.683886, 0, 0.720259, -0.683886, 0, 0.886603, 0.113397, 2.33917, 2.33917, 5.43832, 5.43832
-0.658195, -0.185126, 0, -0.658195, -0.185126, 0, 0.889522, 0.110478, 2.55267, 2.55267, 3.40285, 3.40285
