Trajectory index, Trajectory type, X (A), Y (A), Z (A), E (keV), indexRegion, collisionType
17, 3, 6.72496e-009, 7.09845e-008, 51, 9.9505, 0, 3
18, 3, -4.27301e-009, -4.3996e-008, 0, 10, 0, 1
18, 3, -4.27301e-009, -4.3996e-008, 3.7532, 9.99628, 0, 5
18, 3, -0.262146, -2.53987, 50, 9.95041, 0, 2
18, 3, -0.267805, -2.5947, 50.9985, 9.95041, 0, 3
19, 3, -3.4529e-008, 1.28147e-008, 0, 10, 0, 1
19, 3, -3.4529e-008, 1.28147e-008, 34.8989, 9.96545, 0, 5
19, 3, -0.313358, 0.104236, 41.1225, 9.95926, 0, 5
19, 3, -0.598304, 0.136471, 46.1987, 9.95421, 0, 5
19, 3, -0.63319, 0.545385, 48.7673, 9.95163, 0, 5
19, 3, -0.582408, 0.646468, 50, 9.9504, 0, 2
19, 3, -0.541384, 0.728127, 50.9958, 9.9504, 0, 3
20, 3, 2.08885e-008, -3.21972e-008, 0, 10, 0, 1
20, 3, 2.08885e-008, -3.21972e-008, 4.32143, 9.99572, 0, 5
20, 3, -1.1403, -1.11974, 50, 9.95045, 0, 2
20, 3, -1.16525, -1.14424, 50.9994, 9.95045, 0, 3
21, 3, -2.00426e-008, -1.35072e-008, 0, 10, 0, 1
21, 3, -2.00426e-008, -1.35072e-008, 23.4534, 9.97678, 0, 5
21, 3, 0.170745, 0.0822768, 27.4506, 9.97281, 0, 5
21, 3, 0.760543, 1.36604, 50, 9.9504, 0, 2
21, 3, 0.786647, 1.42286, 50.998, 9.9504, 0, 3
22, 3, 2.10126e-008, 1.22912e-008, 0, 10, 0, 1
22, 3, 2.10126e-008, 1.22912e-008, 26.2575, 9.974, 0, 5
22, 3, -3.63417, 0.382061, 50, 9.95017, 0, 2
22, 3, -3.78546, 0.397965, 50.9884, 9.95017, 0, 3
23, 3, 2.05455e-008, -1.70139e-008, 0, 10, 0, 1
23, 3, 2.05455e-008, -1.70139e-008, 1.25512, 9.99876, 0, 5
23, 3, 1.52056, -5.94866, 50, 9.95011, 0, 2
23, 3, 1.55151, -6.06974, 50.9922, 9.95011, 0, 3
24, 3, -2.93297e-008, -2.84495e-008, 0, 10, 0, 1
24, 3, -2.93297e-008, -2.84495e-008, 2.15759, 9.99786, 0, 5
24, 3, -0.668208, 0.903371, 16.5042, 9.98361, 0, 5
24, 3, 0.543805, 5.51939, 50, 9.95007, 0, 2
24, 3, 0.579627, 5.65582, 50.99, 9.95007, 0, 3
25, 3, 8.01797e-009, 1.3184e-007, 0, 10, 0, 1
25, 3, 8.01797e-009, 1.3184e-007, 46.9037, 9.95356, 0, 5
25, 3, 0.0370458, -0.00592099, 47.1906, 9.95327, 0, 5
25, 3, 0.4135, -0.0174838, 50, 9.95046, 0, 2
25, 3, 0.54631, -0.021563, 50.9911, 9.95046, 0, 3
26, 3, 5.39885e-010, 1.78232e-008, 0, 10, 0, 1
26, 3, 5.39885e-010, 1.78232e-008, 8.9085, 9.99118, 0, 5
26, 3, 3.79467, -2.03926, 50, 9.95025, 0, 2
26, 3, 3.88651, -2.08862, 50.9945, 9.95025, 0, 3
27, 3, -4.03035e-008, 5.35586e-009, 0, 10, 0, 1
27, 3, -4.03035e-008, 5.35586e-009, 15.2318, 9.98492, 0, 5
27, 3, -0.0183554, 0.126043, 33.0237, 9.96728, 0, 5
27, 3, 0.250374, -2.04863, 50, 9.95029, 0, 2
27, 3, 0.266073, -2.17567, 50.9918, 9.95029, 0, 3
28, 3, 5.15606e-008, 3.4856e-008, 0, 10, 0, 1
28, 3, 5.15606e-008, 3.4856e-008, 19.4098, 9.98078, 0, 5
28, 3, 1.93907, 0.497791, 50, 9.95039, 0, 2
28, 3, 2.00233, 0.514029, 50.9979, 9.95039, 0, 3
29, 3, -6.6666e-008, -1.89571e-008, 0, 10, 0, 1
29, 3, -6.6666e-008, -1.89571e-008, 3.35461, 9.99668, 0, 5
29, 3, 0.40327, 0.0767749, 18.5357, 9.98164, 0, 5
29, 3, 0.89156, 0.615853, 50, 9.95044, 0, 2
29, 3, 0.907074, 0.632981, 50.9997, 9.95044, 0, 3
30, 3, 7.48693e-009, 4.74928e-010, 0, 10, 0, 1
30, 3, 7.48693e-009, 4.74928e-010, 50, 9.9505, 0, 2
30, 3, 7.48693e-009, 4.74928e-010, 51, 9.9505, 0, 3
31, 3, 7.40373e-009, -8.93337e-008, 0, 10, 0, 1
31, 3, 7.40373e-009, -8.93337e-008, 39.702, 9.96069, 0, 5
31, 3, 0.293581, -0.328573, 50, 9.95046, 0, 2
31, 3, 0.322063, -0.360451, 50.9991, 9.95046, 0, 3
32, 3, 3.91077e-008, -1.08208e-008, 0, 10, 0, 1
32, 3, 3.91077e-008, -1.08208e-008, 50, 9.9505, 0, 2
32, 3, 3.91077e-008, -1.08208e-008, 51, 9.9505, 0, 3
33, 3, -4.7484e-008, 1.18679e-009, 0, 10, 0, 1
33, 3, -4.7484e-008, 1.18679e-009, 28.8778, 9.97141, 0, 5
33, 3, 1.22214, 0.340087, 39.8026, 9.9605, 0, 5
33, 3, 2.80809, 0.637133, 50, 9.95024, 0, 2
33, 3, 2.96171, 0.665905, 50.9877, 9.95024, 0, 3
34, 3, -5.37252e-009, -3.57662e-008, 0, 10, 0, 1
34, 3, -5.37252e-009, -3.57662e-008, 50, 9.9505, 0, 2
34, 3, -5.37252e-009, -3.57662e-008, 51, 9.9505, 0, 3
35, 3, -2.03968e-008, -2.09726e-008, 0, 10, 0, 1
35, 3, -2.03968e-008, -2.09726e-008, 50, 9.9505, 0, 2
